Date/Time,Word Count,bg-BG,da-DK,el-GR,en,es-ES,fr-FR,it-IT,sv-FI
2024.01.31-11.56.21,2967,0,0,0,2967,0,0,0,0
2024.02.05-12.02.52,2967,104,103,104,2967,112,103,104,104
2024.02.05-14.24.52,2967,2438,103,104,2967,112,103,104,104
2024.02.05-15.15.33,2967,2438,103,104,2967,2446,103,104,104
2024.02.05-16.15.38,2967,2438,103,104,2967,2446,2437,104,104
2024.02.09-10.28.34,2967,2438,2437,104,2967,2446,2437,104,104
2024.02.21-10.00.13,2967,2438,2437,2438,2967,2446,2437,104,104
2024.02.21-10.33.47,2967,2694,2437,2694,2967,2702,2693,104,104
2024.03.04-15.53.05,2967,2694,2693,2694,2967,2702,2693,104,104
2024.03.04-16.33.05,2967,2694,2693,2694,2967,2702,2693,104,2757
2024.03.04-16.51.07,2967,2694,2693,2694,2967,2702,2693,1076,2757
2024.03.04-16.58.14,2967,2694,2693,2694,2967,2702,2693,1701,2757
2024.03.05-09.24.22,2967,2694,2693,2694,2967,2702,2693,2757,2757
2024.04.01-15.38.00,2963,2690,2689,2690,2963,2698,2689,2753,2753
2024.04.02-11.56.11,5299,2690,2689,2690,5299,2698,2689,2753,2753
2024.04.02-12.09.08,5299,2690,2689,2760,5299,2698,2689,2753,2753
2024.04.02-12.25.29,5369,2690,2689,2760,5369,2698,2689,2753,2753
2024.04.02-12.26.10,5369,2690,2689,2786,5369,2698,2689,2753,2753
2024.04.02-13.04.20,5767,2690,2689,2786,5767,2698,2689,2753,2753
2024.04.02-13.10.34,5767,2690,2689,3626,5767,2698,2689,2753,2753
2024.04.02-14.05.29,5767,3626,3625,3626,5767,2698,3625,2753,2753
2024.04.02-14.19.02,5767,3626,3625,3626,5767,3634,3625,3689,3689
